model,accuracy,f1,precision,recall
random_forest,0.8,0.8666666666666666,0.8,1.0
hist_gradient_boosting,0.8,0.8666666666666666,0.8,1.0
xgboost,0.8,0.8666666666666666,0.8,1.0
