feature,importance
avg_interval_seconds,0.09633714596949891
daily_cv,0.08629307783719549
total_transactions,0.0792989417989418
std_interval_seconds,0.07271660801072566
unique_days,0.07146464646464647
avg_tx_per_day,0.06806968751413196
max_tx_in_day,0.051021457965902406
instruction_program_entropy,0.04504035059590616
hourly_entropy,0.044430415263748586
median_interval_seconds,0.04235050080638317
avg_fee_lamports,0.041117814647226414
avg_compute_units,0.03814775910364146
new_token_interaction_ratio,0.03637566137566138
peak_hour,0.03148148148148148
unique_tokens,0.029887499331943776
cv_interval,0.024824713836151747
token_entropy,0.02259700176366843
program_entropy,0.02062798463942255
pump_fun_interaction_ratio,0.020552337096454747
core_dex_interaction_ratio,0.015569561157796459
unique_programs,0.01398508898508899
weekend_ratio,0.013522126022126022
max_inactive_days,0.010412476956594616
avg_instruction_count,0.008488066943949298
instruction_type_entropy,0.008333333333333347
night_ratio,0.005929922474040129
recent_tx_ratio_7d,0.0011243386243386386
feb_2026_active_days,6.476300976980077e-18
feb_2026_tx_count,9.251858538542971e-19
priority_fee_nonzero_ratio,0.0
priority_fee_cv,0.0
avg_priority_fee_lamports,0.0
unique_instruction_types,0.0
