setting,f1,drop
All Features,0.8666666666666666,0.0
Without activity,0.8666666666666666,0.0
Without time,0.8666666666666666,0.0
Without interaction,0.8666666666666666,0.0
Without solana_specific,0.8666666666666666,0.0
